Loaded TRU codes: 3435
[292/3435] 273213.730.000153: parsed=0 listed_total=0 aggregate_rows=115
[293/3435] 273213.700.000335: parsed=0 listed_total=0 aggregate_rows=115
[294/3435] 273213.700.000054: parsed=0 listed_total=0 aggregate_rows=115
[295/3435] 273213.730.000063: parsed=0 listed_total=0 aggregate_rows=115
[296/3435] 273213.700.000183: parsed=0 listed_total=0 aggregate_rows=115
[297/3435] 273213.700.000179: parsed=0 listed_total=0 aggregate_rows=115
[298/3435] 273213.730.000154: parsed=0 listed_total=0 aggregate_rows=115
[299/3435] 273213.700.000336: parsed=0 listed_total=0 aggregate_rows=115
[300/3435] 273213.730.000155: parsed=1 listed_total=1 aggregate_rows=116
[301/3435] 273213.700.000337: parsed=0 listed_total=0 aggregate_rows=116
[302/3435] 273213.700.000338: parsed=0 listed_total=0 aggregate_rows=116
[303/3435] 273213.730.000156: parsed=0 listed_total=0 aggregate_rows=116
[304/3435] 273213.700.000339: parsed=0 listed_total=0 aggregate_rows=116
[305/3435] 273213.700.000340: parsed=0 listed_total=0 aggregate_rows=116
[306/3435] 273213.730.000157: parsed=0 listed_total=0 aggregate_rows=116
[307/3435] 273213.730.000158: parsed=0 listed_total=0 aggregate_rows=116
[308/3435] 273213.700.000049: parsed=0 listed_total=0 aggregate_rows=116
[309/3435] 273213.730.000159: parsed=0 listed_total=0 aggregate_rows=116
[310/3435] 273213.700.000341: parsed=0 listed_total=0 aggregate_rows=116
[311/3435] 273213.730.000060: parsed=0 listed_total=0 aggregate_rows=116
[312/3435] 273213.730.000160: parsed=0 listed_total=0 aggregate_rows=116
[313/3435] 273213.700.000001: parsed=0 listed_total=0 aggregate_rows=116
[314/3435] 273213.700.000342: parsed=0 listed_total=0 aggregate_rows=116
[315/3435] 273213.700.000344: parsed=0 listed_total=0 aggregate_rows=116
[316/3435] 273213.730.000016: parsed=0 listed_total=0 aggregate_rows=116
[317/3435] 273213.730.000164: parsed=0 listed_total=0 aggregate_rows=116
[318/3435] 273213.700.000346: parsed=0 listed_total=0 aggregate_rows=116
[319/3435] 273213.700.000345: parsed=0 listed_total=0 aggregate_rows=116
[320/3435] 273213.730.000163: parsed=0 listed_total=0 aggregate_rows=116
[321/3435] 273213.700.000347: parsed=0 listed_total=0 aggregate_rows=116
[322/3435] 273213.730.000165: parsed=0 listed_total=0 aggregate_rows=116
[323/3435] 273213.730.000166: parsed=0 listed_total=0 aggregate_rows=116
[324/3435] 273213.700.000348: parsed=0 listed_total=0 aggregate_rows=116
[325/3435] 273213.730.000167: parsed=0 listed_total=0 aggregate_rows=116
[326/3435] 273213.730.000168: parsed=0 listed_total=0 aggregate_rows=116
[327/3435] 273213.730.000161: parsed=0 listed_total=0 aggregate_rows=116
[328/3435] 273213.700.000033: parsed=0 listed_total=0 aggregate_rows=116
[329/3435] 273213.730.000169: parsed=0 listed_total=0 aggregate_rows=116
[330/3435] 273213.700.000349: parsed=0 listed_total=0 aggregate_rows=116
[331/3435] 273213.730.000104: parsed=0 listed_total=0 aggregate_rows=116
[332/3435] 273213.730.000117: parsed=0 listed_total=0 aggregate_rows=116
[333/3435] 273213.730.000041: parsed=0 listed_total=0 aggregate_rows=116
[334/3435] 273213.700.000032: parsed=0 listed_total=0 aggregate_rows=116
[335/3435] 273213.700.000249: parsed=0 listed_total=0 aggregate_rows=116
[336/3435] 273213.700.000276: parsed=0 listed_total=0 aggregate_rows=116
[337/3435] 273213.700.000195: parsed=0 listed_total=0 aggregate_rows=116
[338/3435] 273213.700.000203: parsed=0 listed_total=0 aggregate_rows=116
[339/3435] 273213.700.000210: parsed=0 listed_total=0 aggregate_rows=116
[340/3435] 273213.700.000209: parsed=0 listed_total=0 aggregate_rows=116
[341/3435] 273213.700.000197: parsed=0 listed_total=0 aggregate_rows=116
[342/3435] 273213.700.000206: parsed=0 listed_total=0 aggregate_rows=116
[343/3435] 273213.700.000192: parsed=0 listed_total=0 aggregate_rows=116
[344/3435] 273213.700.000207: parsed=0 listed_total=0 aggregate_rows=116
[345/3435] 273213.700.000211: parsed=0 listed_total=0 aggregate_rows=116
[346/3435] 273213.730.000126: parsed=0 listed_total=0 aggregate_rows=116
[347/3435] 273213.700.000295: parsed=0 listed_total=0 aggregate_rows=116
[348/3435] 273213.730.000132: parsed=0 listed_total=0 aggregate_rows=116
[349/3435] 273213.700.000205: parsed=0 listed_total=0 aggregate_rows=116
[350/3435] 273213.700.000213: parsed=0 listed_total=0 aggregate_rows=116
[351/3435] 273213.730.000122: parsed=1 listed_total=1 aggregate_rows=117
[352/3435] 273213.700.000296: parsed=0 listed_total=0 aggregate_rows=117
[353/3435] 273213.700.000297: parsed=5 listed_total=5 aggregate_rows=122
[354/3435] 273213.700.000202: parsed=0 listed_total=0 aggregate_rows=122
[355/3435] 273213.700.000193: parsed=0 listed_total=0 aggregate_rows=122
[356/3435] 273213.730.000147: parsed=0 listed_total=0 aggregate_rows=122
[357/3435] 273213.700.000298: parsed=0 listed_total=0 aggregate_rows=122
[358/3435] 273213.700.000283: parsed=0 listed_total=0 aggregate_rows=122
[359/3435] 273214.000.000034: parsed=0 listed_total=0 aggregate_rows=122
[360/3435] 273213.730.000130: parsed=0 listed_total=0 aggregate_rows=122
[361/3435] 273213.700.000115: parsed=0 listed_total=0 aggregate_rows=122
[362/3435] 273213.700.000317: parsed=0 listed_total=0 aggregate_rows=122
[363/3435] 273214.000.000042: parsed=0 listed_total=0 aggregate_rows=122
[364/3435] 273213.700.000280: parsed=0 listed_total=0 aggregate_rows=122
[365/3435] 273213.700.000246: parsed=0 listed_total=0 aggregate_rows=122
[366/3435] 273213.700.000306: parsed=0 listed_total=0 aggregate_rows=122
