№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
79620663-ОК3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15674614-1 Проведение государственной закупки услуги по финансовому лизингу для АО «Агентство «Хабар» способом конкурса,Услуги по финансовому лизингу,1,168 562 476.12,Открытый конкурс,Закупка состоялась
79621098-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15610391-1 Мобильные здании (контейнерные блок-модули) для водоснабжения населенных пунктов Балхашского района,Здание мобильное,1,24 687 500.00,Открытый конкурс,Закупка состоялась
79621103-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15610391-1 Мобильные здании (контейнерные блок-модули) для водоснабжения населенных пунктов Балхашского района,Здание мобильное,1,24 687 500.00,Открытый конкурс,Закупка состоялась
79621110-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15610391-1 Мобильные здании (контейнерные блок-модули) для водоснабжения населенных пунктов Балхашского района,Здание мобильное,1,24 687 500.00,Открытый конкурс,Закупка состоялась
79621134-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15610391-1 Мобильные здании (контейнерные блок-модули) для водоснабжения населенных пунктов Балхашского района,Здание мобильное,1,24 687 500.00,Открытый конкурс,Закупка состоялась
79623525-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15456610-2 Услуги сопровождения 1 С Бухгалтерия (разработка, модификация, развитие)",Услуги по администрированию и техническому обслуживанию программного обеспечения,1,15 000 000.00,Открытый конкурс,Закупка состоялась
79624762-ОК3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15481552-1 Повторное приобретение сварочного аппарата для КГУ ""Шалкарский многопрофильный колледж"" ГУ ""Управление образования Актюбинской области""",Аппарат сварочный,7,17 334 373.00,Открытый конкурс,Закупка состоялась
79626181-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15515442-1 Услуги по экономической экспертизе местных бюджетных инвестиционных проектов для ГУ ""Управление промышленности и индустриально-инновационного развития Мангистауской области""",Услуги по изучению/исследованию/мониторингу/анализу рынка/деятельности,1,50 089 285.71,Открытый конкурс,Закупка состоялась
79628308-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15503455-1 Приобретение микроавтобуса для школ Мугалжарского районного отдела образования,Автобус,1,15 647 000.00,Открытый конкурс,Закупка состоялась
79629113-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15441952-1 Приобретение интерактивного информационного модуля ""Вагонное дело"" на 12 ученических места, с доставкой для КГУ ""Шалкарский многопрофильный колледж"" ГУ ""Управление образования Актюбинской области""",Кабинет учебный,1,17 410 714.28,Открытый конкурс,Закупка состоялась
79630281-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15503455-1 Приобретение микроавтобуса для школ Мугалжарского районного отдела образования,Автобус,1,20 190 000.00,Открытый конкурс,Закупка состоялась
79631579-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15437406-2 Панель интерактивная (г. Астана, Абая 33 А)",Панель интерактивная,1,48 104 000.00,Открытый конкурс,Закупка состоялась
79636528-ЗЖ2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15692606-1 Приобретение 3-х комнатный дом г. Талдыкорган,Здание,1,23 560 000.00,Закупка жилища,Закупка состоялась
79636590-ЗЖ2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15692606-1 Приобретение 3-х комнатный дом г. Талдыкорган,Здание,1,23 560 000.00,Закупка жилища,Закупка состоялась
79636599-ЗЖ2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15692606-1 Приобретение 3-х комнатный дом г. Талдыкорган,Здание,1,23 560 000.00,Закупка жилища,Закупка состоялась
79637823-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15466995-2 Государственные закупки для ГУ ""Аппарат акима Косчагилского сельского округа Жылыойского района Атырауской области Республики Казахстан""",Работы по установке (монтажу) дверей/ворот/турникетных систем/ограждений,1,60 091 209.82,Открытый конкурс,Закупка состоялась
