№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
78237857-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14573525-1 Приобретение автомобиля скорой медицинской помощи для КГП на ПХВ «Районная больница района Магжана Жумабаева» КГУ «Управление здравоохранения акимата Северо-Казахстанской области»,Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
78241522-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","14570670-1 Приобретение автомобиля скорой медицинской помощи для КГП на ПХВ ""Мамлютская районная больница"" КГУ ""Управление здравоохранения акимата Северо-Казахстанской области""",Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
75408068-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","14538030-1 Приобретение автомобиля скорой медицинской помощи КГП на ПХВ ""Кызылжарская районная больница"" КГУ ""Управление здравоохранения акимата Северо-Казахстанской области""",Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
78241217-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","14533478-1 Приобретение автотранспорта для КГП на ПХВ ""Айыртауская районная больница"" КГУ Управление здравоохранения акимата СКО",Автомобиль,2,44 196 428.00,Открытый конкурс,Закупка состоялась
78332179-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14532158-1 Приобретение автомобиля скорой медицинской помощи для КГП на ПХВ «Явленская районная больница» КГУ «Управление здравоохранения акимата Северо-Казахстанской области»,Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
75546459-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14530718-1 Приобретение автотранспорта для КГП на ПХВ «Жамбылская районная больница» КГУ «Управление здравоохранения акимата Северо-Казахстанской области»,Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
78160366-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14520961-1 Приобретение автомобилей скорой медицинской помощи для КГП на ПХВ «Областной центр скорой медицинской помощи» КГУ «Управление здравоохранения акимата Северо- Казахстанской области»,Автомобиль,4,120 000 000.00,Открытый конкурс,Закупка состоялась
78306738-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","14342904-2 Приобретение автотранспорта для КГП на ПХВ ""Районная больница района Шал акына"" КГУ ""Управление здравоохранения акимата Северо-Казахстанской области""",Автомобиль,1,22 098 214.29,Открытый конкурс,Закупка состоялась
75451880-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14017034-1 Приобретение автотранспорта для КГП на ПХВ «Областной центр скорой медицинской помощи» КГУ «Управление здравоохранения акимата Северо- Казахстанской области»,Автомобиль,2,48 000 000.00,Открытый конкурс,Закупка состоялась
76656371-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","13895774-1 Товары, согласно технической спецификации",Автомобиль,1,30 000 000.00,Открытый конкурс,Закупка состоялась
76443819-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",13738941-1 Приобретение автомобиля (СП),Автомобиль,10,280 000 000.00,Открытый конкурс,Закупка состоялась
73831908-ОК2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","13608599-1 Автомобиль Комплекс передвижной неотложной медицинской помощи для линейных, кардиологических, реанимационных бригад и бригад интенсивной терапии на баз",Автомобиль,2,52 000 000.00,Открытый конкурс,Закупка состоялась
