№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
79097034-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14798225-1 Основные средства по тех спецификаций,Огнетушитель,6,45 000.00,Запрос ценовых предложений,Закупка не состоялась
79052234-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14797672-1 Өрт сөндіргіш/Огнетушитель,Огнетушитель,10,77 000.00,Запрос ценовых предложений,Закупка состоялась
74948260-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14795997-1 Приобретение Огнетушитель порошковый,Огнетушитель,150,1 125 000.00,Запрос ценовых предложений,Закупка не состоялась
73043803-ЗЦП2,282922.100.000001,Огнетушитель порошковый,"14794171-1 Государственные закупки огнетушителей для филиала РГП ""Госэкспертиза"" по Восточному региону",Огнетушитель,4,32 000.00,Запрос ценовых предложений,Закупка состоялась
78937827-ОИ3,282922.100.000001,Огнетушитель порошковый,14792863-1 Шаруашылық тауарлар,Огнетушитель,1,4 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
77957905-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14792521-1 о г н е т у ш и т е л ь,Огнетушитель,4,64 285.72,Запрос ценовых предложений,Закупка не состоялась
79135762-ЗЦП1,282922.100.000001,Огнетушитель порошковый,"14792504-1 Порошковый огнетушитель, коврик. перчатка и ботинки",Огнетушитель,3,23 556.00,Запрос ценовых предложений,Закупка не состоялась
79114984-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14792363-1 Огнетушитель ОП-5 (З) год выпуска 2025,Огнетушитель,28,280 000.00,Запрос ценовых предложений,Закупка не состоялась
79073136-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14789972-1 Огнетушитель порошковый ОП-5,Огнетушитель,10,70 000.00,Запрос ценовых предложений,Закупка состоялась
36629992-ОЛ-ОИ2,282922.100.000001,Огнетушитель порошковый,14789429-1 Товары для хозяйственных нужд,хозяйственные товары,2,281 900.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79067492-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14787547-1 Приобретение огнетушитель (порошковый ОП-5 ) для школы.,Огнетушитель,10,120 000.00,Запрос ценовых предложений,Закупка не состоялась
73864284-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14787006-1 Огнетушитель порошковый переносной (ручной) ОП-5/,Огнетушитель,20,120 000.00,Запрос ценовых предложений,Закупка состоялась
